property_id,city,zone,property_type,bedrooms,bathrooms,size_sqm,year_built,age_years,condition,parking_spaces,price_million_naira,price_per_sqm
NG1021,Ibadan,Jericho,Detached House,2.0,1.0,103.0,2019,5,good,2,23.11,224.37
NG1022,Kano,Nassarawa,Flat,2.0,1.0,171.0,2011,13,good,2,8.06,47.13
NG1023,Abuja,Wuse II,Flat,2.0,1.0,152.0,2022,2,good,2,17.86,117.5
NG1024,Port Harcourt,GRA Phase 2,Flat,3.0,3.0,179.0,2021,3,new,2,33.98,189.83
NG1025,Kano,Nassarawa,Duplex,4.0,4.0,264.0,2017,7,new,0,35.65,135.04
NG1026,Kano,Bompai,Semi-Detached,4.0,4.0,268.0,2015,9,new,1,21.97,81.98
NG1027,Port Harcourt,GRA Phase 2,Bungalow,2.0,1.0,148.0,2007,17,needs renovation,0,16.0,108.11
NG1028,Kano,Nassarawa,Flat,4.0,3.0,210.0,2007,17,good,1,9.63,45.86
NG1029,Abuja,Wuse II,Semi-Detached,4.0,4.0,304.0,2014,10,fair,0,88.11,289.84
NG1030,Abuja,Gwarinpa,Flat,4.0,4.0,218.0,2011,13,new,1,57.84,265.32
NG1031,Port Harcourt,D-Line,Detached House,1.0,1.0,,2013,11,fair,0,25.66,
NG1032,Abuja,Jabi,Bungalow,3.0,2.0,167.0,2008,16,good,0,67.13,401.98
NG1033,Abuja,Garki,Flat,4.0,4.0,218.0,2006,18,fair,1,35.69,163.72
NG1034,Lagos,Surulere,Duplex,5.0,5.0,292.0,2009,15,good,1,139.05,476.2
NG1035,Abuja,Wuse II,Flat,3.0,2.0,221.0,2013,11,good,1,49.74,225.07
NG1036,Lagos,Ikeja,Flat,2.0,2.0,190.0,2016,8,needs renovation,1,20.61,108.47
NG1037,Abuja,Asokoro,Flat,3.0,2.0,147.0,2013,11,good,1,47.05,320.07
NG1038,Ibadan,Oluyole,Semi-Detached,1.0,1.0,106.0,2010,14,fair,2,12.39,116.89
NG1039,Port Harcourt,GRA Phase 1,Flat,3.0,2.0,219.0,2008,16,needs renovation,2,18.17,82.97
NG1040,Abuja,Gwarinpa,Flat,1.0,1.0,111.0,2007,17,needs renovation,1,14.17,127.66
NG1041,Lagos,Ajah,Bungalow,5.0,4.0,286.0,2014,10,fair,2,49.23,172.13
NG1042,Ibadan,Oluyole,Detached House,4.0,3.0,268.0,2005,19,good,1,34.14,127.39
NG1043,Ibadan,Agodi,Semi-Detached,3.0,2.0,184.0,2021,3,fair,2,22.01,119.62
NG1044,Abuja,Jabi,Flat,4.0,,188.0,2014,10,fair,1,45.82,243.72
NG1045,Abuja,Maitama,Flat,3.0,3.0,210.0,2023,1,good,1,52.72,251.05
NG1046,Ibadan,Iyaganku,Detached House,2.0,2.0,149.0,2018,6,good,1,23.81,159.8
NG1047,Kano,Fagge,Flat,1.0,1.0,108.0,2021,3,good,2,5.76,53.33
NG1048,Ibadan,Agodi,Semi-Detached,4.0,3.0,282.0,2020,4,needs renovation,2,15.52,55.04
NG1049,Abuja,Jabi,Bungalow,5.0,5.0,281.0,2007,17,needs renovation,1,38.94,138.58
NG1050,Port Harcourt,Trans-Amadi,Semi-Detached,2.0,2.0,143.0,2009,15,new,1,42.43,296.71
NG1051,Ibadan,Ring Road,Semi-Detached,3.0,3.0,186.0,2017,7,needs renovation,2,16.49,88.66
NG1052,Lagos,Yaba,Detached House,1.0,1.0,103.0,2018,6,needs renovation,2,37.53,364.37
NG1053,Kano,Kabuga,Duplex,2.0,1.0,168.0,2005,19,needs renovation,2,7.26,43.21
NG1054,Ibadan,Oluyole,Duplex,2.0,2.0,188.0,2023,1,needs renovation,2,14.59,77.61
NG1055,Lagos,Ajah,Detached House,3.0,3.0,151.0,2017,7,good,1,92.76,614.3
NG1056,Port Harcourt,Trans-Amadi,Detached House,3.0,2.0,203.0,2020,4,fair,0,65.06,320.49
NG1057,Lagos,Surulere,Duplex,5.0,5.0,308.0,2012,12,new,1,176.92,574.42
NG1058,Kano,Bompai,Duplex,3.0,3.0,196.0,2019,5,good,1,22.52,114.9
NG1059,Abuja,Garki,Semi-Detached,2.0,1.0,89.0,2014,10,new,2,87.25,980.34
NG1061,Port Harcourt,D-Line,Detached House,1.0,1.0,98.0,2020,4,fair,0,33.37,340.51
NG1062,Port Harcourt,Old GRA,Detached House,3.0,3.0,250.0,2013,11,good,2,83.55,334.2
NG1063,Kano,Fagge,Detached House,4.0,3.0,221.0,2007,17,needs renovation,1,16.22,73.39
NG1064,Abuja,Wuse II,Semi-Detached,3.0,3.0,201.0,2010,14,needs renovation,2,38.4,191.04
NG1065,Port Harcourt,Trans-Amadi,Bungalow,4.0,4.0,238.0,2007,17,fair,1,37.03,155.59
NG1066,Ibadan,Agodi,Duplex,5.0,4.0,257.0,2007,17,needs renovation,1,18.87,73.42
NG1067,Abuja,Gwarinpa,Semi-Detached,3.0,2.0,224.0,2015,9,fair,1,67.41,300.94
NG1068,Port Harcourt,Trans-Amadi,Bungalow,1.0,1.0,70.0,2022,2,good,1,21.62,308.86
NG1069,Ibadan,Ring Road,Semi-Detached,1.0,1.0,83.0,2016,8,fair,1,10.05,121.08
NG1070,Kano,Bompai,Bungalow,1.0,1.0,83.0,2020,4,new,0,10.57,127.35
NG1071,Kano,Tarauni,Detached House,3.0,2.0,136.0,2013,11,needs renovation,2,10.26,75.44
NG1072,Lagos,Ikeja,Detached House,4.0,4.0,185.0,2023,1,new,1,138.51,748.7
NG1073,Abuja,Maitama,Semi-Detached,4.0,4.0,312.0,2017,7,needs renovation,2,65.59,210.22
NG1074,Port Harcourt,D-Line,Detached House,4.0,4.0,238.0,2011,13,fair,1,59.51,250.04
NG1075,Lagos,Victoria Island,Duplex,4.0,4.0,170.0,2018,6,good,2,120.14,706.71
NG1076,Ibadan,Ring Road,Flat,2.0,1.0,182.0,2007,17,good,1,11.75,64.56
NG1078,Abuja,Gwarinpa,Semi-Detached,3.0,3.0,195.0,2017,7,fair,1,63.25,324.36
NG1079,Ibadan,Iyaganku,Flat,3.0,2.0,204.0,2005,19,new,0,13.75,67.4
NG1080,Kano,Kabuga,Flat,4.0,4.0,268.0,2020,4,fair,2,9.09,33.92
NG1081,Port Harcourt,GRA Phase 2,Semi-Detached,5.0,4.0,255.0,2016,8,needs renovation,2,40.45,158.63
NG1082,Lagos,Victoria Island,Bungalow,3.0,2.0,229.0,2022,2,needs renovation,0,31.62,138.08
NG1083,Port Harcourt,Trans-Amadi,Bungalow,3.0,3.0,247.0,2019,5,new,2,42.34,171.42
NG1084,Kano,Tarauni,Semi-Detached,5.0,4.0,311.0,2011,13,needs renovation,1,12.74,40.96
NG1085,Port Harcourt,Rumuola,Detached House,1.0,1.0,87.0,2014,10,new,2,43.37,498.51
NG1086,Ibadan,Bodija,Duplex,3.0,3.0,194.0,2020,4,new,1,38.46,198.25
NG1087,Port Harcourt,Rumuola,Detached House,2.0,1.0,132.0,2017,7,needs renovation,1,39.2,296.97
NG1088,Kano,Sharada,Duplex,,1.0,164.0,2013,11,new,0,17.32,105.61
NG1089,Port Harcourt,D-Line,Semi-Detached,2.0,1.0,175.0,2016,8,needs renovation,1,24.77,141.54
NG1090,Kano,Fagge,Detached House,2.0,2.0,165.0,2012,12,fair,2,10.59,64.18
NG1091,Ibadan,Oluyole,Detached House,5.0,5.0,264.0,2009,15,needs renovation,2,29.93,113.37
NG1092,Port Harcourt,GRA Phase 1,Detached House,4.0,3.0,168.0,2018,6,new,1,96.17,572.44
NG1093,Port Harcourt,Trans-Amadi,Semi-Detached,5.0,5.0,362.0,2022,2,needs renovation,2,54.33,150.08
NG1094,Ibadan,Agodi,Flat,2.0,1.0,105.0,2018,6,new,0,15.25,145.24
NG1095,Lagos,Ikeja,Duplex,1.0,1.0,62.0,2014,10,fair,1,36.84,594.19
NG1096,Abuja,Asokoro,Semi-Detached,4.0,4.0,192.0,2007,17,needs renovation,2,59.23,308.49
NG1097,Kano,Sharada,Duplex,4.0,4.0,237.0,2013,11,needs renovation,2,11.5,48.52
NG1098,Lagos,Ikeja,Bungalow,1.0,1.0,119.0,2023,1,good,1,36.37,305.63
NG1099,Ibadan,Oluyole,Bungalow,2.0,2.0,165.0,2008,16,needs renovation,1,7.03,42.61
NG1100,Port Harcourt,D-Line,Bungalow,1.0,1.0,54.0,2023,1,fair,0,21.96,406.67
NG1101,Ibadan,Ring Road,Duplex,2.0,2.0,150.0,2009,15,fair,0,19.31,128.73
NG1102,Lagos,Surulere,Detached House,4.0,3.0,258.0,2007,17,new,1,135.28,524.34
NG1103,Ibadan,Jericho,Duplex,4.0,3.0,278.0,2013,11,good,1,31.39,112.91
NG1104,Ibadan,Ring Road,Bungalow,3.0,3.0,155.0,2017,7,new,2,21.71,140.06
NG1105,Ibadan,Bodija,Bungalow,3.0,2.0,211.0,2023,1,new,2,27.41,129.91
NG1106,Port Harcourt,GRA Phase 1,Duplex,1.0,1.0,102.0,2007,17,needs renovation,2,22.78,223.33
NG1107,Port Harcourt,Old GRA,Detached House,2.0,2.0,144.0,2014,10,new,2,62.08,431.11
NG1108,Abuja,Garki,Duplex,3.0,2.0,247.0,2018,6,needs renovation,2,60.84,246.32
NG1109,Abuja,Wuse II,Flat,4.0,3.0,305.0,2006,18,needs renovation,1,24.47,80.23
NG1110,Ibadan,Jericho,Bungalow,5.0,4.0,315.0,2006,18,new,2,26.81,85.11
NG1111,Lagos,Ikeja,Flat,5.0,5.0,232.0,2012,12,good,1,64.08,276.21
NG1112,Abuja,Maitama,Semi-Detached,4.0,4.0,283.0,2015,9,good,1,112.24,396.61
NG1113,Kano,Nassarawa,Bungalow,2.0,1.0,152.0,2008,16,good,0,7.59,49.93
NG1114,Port Harcourt,GRA Phase 2,Semi-Detached,1.0,1.0,59.0,2009,15,fair,2,23.13,392.03
NG1115,Lagos,Ikeja,Detached House,4.0,4.0,270.0,2012,12,fair,2,74.14,274.59
NG1116,Kano,Tarauni,Detached House,1.0,1.0,123.0,2018,6,new,0,16.81,136.67
NG1117,Ibadan,Bodija,Flat,4.0,4.0,174.0,2013,11,fair,2,12.76,73.33
NG1118,Kano,Sharada,Bungalow,4.0,3.0,270.0,2018,6,needs renovation,0,9.23,34.19
NG1119,Lagos,Ajah,Semi-Detached,3.0,2.0,228.0,2018,6,good,1,88.56,388.42
